"","age","workclass","fnlwgt","education","education.num","martial.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","above50K"
"1352",32," Self-emp-inc",199765," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7688,0,50," United-States",FALSE
"25334",42," Private",212737," 9th",5," Separated"," Craft-repair"," Unmarried"," Black"," Male",0,0,40," United-States",TRUE
"27742",68," Private",185537," Some-college",10," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,20," United-States",TRUE
"959",33," Self-emp-not-inc",123424," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",FALSE
"14665",54," Private",221915," Some-college",10," Widowed"," Craft-repair"," Unmarried"," White"," Female",0,0,50," United-States",TRUE
"14290",65," Federal-gov",325089," 10th",6," Divorced"," Craft-repair"," Unmarried"," White"," Male",0,0,40," United-States",TRUE
"21306",18," Private",414721," 11th",7," Never-married"," Other-service"," Own-child"," Black"," Male",0,1602,23," United-States",TRUE
"23391",34," Private",198103," HS-grad",9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,1980,40," United-States",TRUE
"17736",26," Private",358975," Some-college",10," Never-married"," Priv-house-serv"," Not-in-family"," White"," Female",0,0,50," Hungary",TRUE
"29224",43," Self-emp-not-inc",160369," 10th",6," Divorced"," Farming-fishing"," Unmarried"," White"," Male",0,0,25," United-States",TRUE
"19811",46," Local-gov",398986," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,1902,52," United-States",FALSE
"23433",30," Private",541343," 10th",6," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",0,0,40," United-States",TRUE
"27247",30," Private",110622," Bachelors",13," Divorced"," Exec-managerial"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,40," China",TRUE
"12798",51," Self-emp-inc",189183," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",TRUE
"2076",25," Federal-gov",144259," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," Black"," Male",0,0,40," United-States",TRUE
"3707",22," Private",437994," Some-college",10," Never-married"," Other-service"," Other-relative"," Black"," Male",0,0,20," United-States",TRUE
"26187",33," Private",594187," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",FALSE
"10383",22," State-gov",190625," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,20," United-States",TRUE
"4302",25," Private",204338," HS-grad",9," Never-married"," Farming-fishing"," Unmarried"," White"," Male",0,0,30," ?",TRUE
"24353",18," Private",184693," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," Mexico",TRUE
"30895",20," Private",303565," Some-college",10," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",0,0,40," Germany",TRUE
"25332",37," Self-emp-not-inc",42044," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,84," United-States",TRUE
"355",59," ?",372020," Bachelors",13," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States",FALSE
"177",21," Private",312956," HS-grad",9," Never-married"," Craft-repair"," Own-child"," Black"," Male",0,0,40," United-States",TRUE
"22409",34," Private",422836," HS-grad",9," Divorced"," Prof-specialty"," Unmarried"," White"," Male",0,0,40," Mexico",TRUE
"15478",61," Private",115023," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",FALSE
"16551",28," Private",137296," Assoc-acdm",12," Never-married"," Other-service"," Not-in-family"," Black"," Female",0,0,40," United-States",TRUE
"9993",44," Private",195545," HS-grad",9," Divorced"," Machine-op-inspct"," Own-child"," Black"," Female",0,0,40," United-States",TRUE
"203",51," Private",259323," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",FALSE
"28282",35," Private",243357," 11th",7," Separated"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States",TRUE
"24366",31," Local-gov",209103," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",3464,0,45," United-States",TRUE
"19168",45," Federal-gov",106910," HS-grad",9," Never-married"," Transport-moving"," Unmarried"," Asian-Pac-Islander"," Female",0,0,40," United-States",TRUE
"3078",38," Private",266645," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States",FALSE
"20637",23," Private",151888," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",4650,0,50," Ireland",TRUE
"23252",38," Private",391040," Assoc-voc",11," Separated"," Tech-support"," Unmarried"," White"," Female",0,0,20," United-States",TRUE
"5299",33," Private",100135," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,1740,25," United-States",TRUE
"8447",78," ?",27979," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",2228,0,32," United-States",TRUE
"29567",44," Private",197344," HS-grad",9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,50," United-States",TRUE
"19744",50," Self-emp-inc",302708," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",7688,0,50," Japan",FALSE
"23397",25," Private",274228," HS-grad",9," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,84," United-States",TRUE
"5986",58," Private",119558," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",FALSE
"8250",44," Federal-gov",344060," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",FALSE
"6330",25," Private",25249," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States",TRUE
"2744",30," State-gov",199539," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,1902,40," United-States",TRUE
"13708",50," Private",114056," Assoc-voc",11," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,84," United-States",TRUE
"7415",19," Private",186159," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States",TRUE
"15514",39," Federal-gov",382859," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",FALSE
"648",71," Private",78277," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,15," United-States",TRUE
"31973",43," Self-emp-inc",62026," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",99999,0,40," United-States",FALSE
"26602",46," State-gov",162852," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States",TRUE
"30556",30," Self-emp-not-inc",182089," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,85," United-States",TRUE
"7988",30," Private",196396," Some-college",10," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States",TRUE
"24614",47," Local-gov",51579," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,50," United-States",TRUE
"14018",40," Self-emp-inc",49249," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",FALSE
"16811",31," ?",85077," Bachelors",13," Married-civ-spouse"," ?"," Wife"," White"," Female",0,1902,20," United-States",FALSE
"19493",76," ?",191024," Bachelors",13," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,30," United-States",TRUE
"23620",35," Private",216711," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",FALSE
"15071",48," Private",155664," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,35," United-States",FALSE
"22014",69," Private",200560," Bachelors",13," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,20," United-States",TRUE
"25211",29," Private",142555," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," Black"," Male",0,0,42," United-States",TRUE
"19352",33," Private",35309," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,40," ?",TRUE
"28506",39," State-gov",65390," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," ?",TRUE
"27521",34," Private",108837," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States",FALSE
"30476",38," Self-emp-not-inc",163204," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",3411,0,25," United-States",TRUE
"9525",31," Private",402361," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",TRUE
"867",21," Private",62339," 10th",6," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States",TRUE
"29397",22," Private",189277," HS-grad",9," Never-married"," Machine-op-inspct"," Unmarried"," Black"," Female",0,0,40," United-States",TRUE
"10511",35," Private",44780," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",7688,0,20," United-States",FALSE
"1650",59," Private",143372," 10th",6," Divorced"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,40," United-States",TRUE
"30750",41," Self-emp-not-inc",111772," Assoc-acdm",12," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1887,40," United-States",FALSE
"16343",53," Private",346754," Some-college",10," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States",FALSE
"3369",40," Self-emp-not-inc",223881," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,70," United-States",FALSE
"12357",34," Self-emp-not-inc",101266," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,62," United-States",TRUE
"31238",18," Private",231562," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Female",0,0,33," United-States",TRUE
"22066",18," Private",128086," 12th",8," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,18," United-States",TRUE
"28582",19," Private",96483," HS-grad",9," Never-married"," Other-service"," Own-child"," Asian-Pac-Islander"," Female",0,0,40," United-States",TRUE
"29449",33," Private",361497," HS-grad",9," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,70," United-States",TRUE
"22666",40," Federal-gov",346532," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",0,0,40," United-States",FALSE
"26648",40," Local-gov",99679," Prof-school",15," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,60," United-States",FALSE
"10664",48," Private",101299," Assoc-acdm",12," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",TRUE
"30025",46," Private",184632," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States",TRUE
"7220",47," Self-emp-not-inc",315110," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,20," United-States",TRUE
"14852",17," Self-emp-inc",413557," 9th",5," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," United-States",TRUE
"24056",35," Self-emp-not-inc",233533," Bachelors",13," Separated"," Craft-repair"," Not-in-family"," White"," Male",0,0,65," United-States",TRUE
"7317",23," Private",287988," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,20," United-States",TRUE
"16686",59," Private",38573," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",FALSE
"12060",40," Local-gov",180123," HS-grad",9," Married-spouse-absent"," Farming-fishing"," Own-child"," Black"," Male",0,0,40," United-States",TRUE
"15469",29," Private",37933," 12th",8," Married-spouse-absent"," Other-service"," Not-in-family"," Black"," Female",0,0,40," United-States",TRUE
"12314",68," Private",214521," Prof-school",15," Widowed"," Prof-specialty"," Unmarried"," White"," Female",0,0,16," United-States",TRUE
"19143",45," Private",131826," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States",TRUE
"13017",40," Local-gov",39581," Prof-school",15," Separated"," Prof-specialty"," Own-child"," Black"," Female",0,0,40," United-States",TRUE
"20942",19," ?",140242," Some-college",10," Never-married"," ?"," Own-child"," White"," Female",0,0,20," United-States",TRUE
"17358",38," Private",497788," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States",TRUE
"15162",38," Private",81232," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," ?",FALSE
"13143",31," Private",138416," 5th-6th",3," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,56," Mexico",TRUE
"23224",30," Private",281030," Assoc-voc",11," Married-civ-spouse"," Sales"," Husband"," White"," Male",4064,0,40," United-States",TRUE
"7659",43," Private",59107," HS-grad",9," Separated"," Other-service"," Not-in-family"," White"," Female",4101,0,40," United-States",TRUE
"12972",17," Private",218124," 11th",7," Never-married"," Sales"," Own-child"," White"," Female",0,0,20," United-States",TRUE
"9777",36," Private",41490," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States",TRUE
"12471",31," Local-gov",176185," Bachelors",13," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",4064,0,40," ?",TRUE
"29073",23," ?",214238," 7th-8th",4," Never-married"," ?"," Not-in-family"," White"," Female",0,0,40," Mexico",TRUE
"6336",46," Private",141483," HS-grad",9," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,40," United-States",TRUE
"4753",60," ?",199947," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,32," United-States",TRUE
"24880",28," State-gov",89564," Bachelors",13," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,50," United-States",TRUE
"29558",33," Private",355996," 10th",6," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States",TRUE
"17878",55," Private",240988," 9th",5," Married-civ-spouse"," Machine-op-inspct"," Other-relative"," Asian-Pac-Islander"," Male",0,0,40," Philippines",TRUE
"11375",44," Private",155701," 7th-8th",4," Separated"," Other-service"," Unmarried"," White"," Female",0,0,38," Peru",TRUE
"22481",17," Private",121287," 9th",5," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States",TRUE
"25919",49," Private",97883," Bachelors",13," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States",TRUE
"23780",30," Private",94245," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States",TRUE
"18016",60," Self-emp-not-inc",282066," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,45," United-States",FALSE
"31476",64," Self-emp-inc",272531," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",FALSE
"816",47," Self-emp-not-inc",93208," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,75," Italy",TRUE
"29298",18," ?",252046," HS-grad",9," Never-married"," ?"," Own-child"," White"," Female",0,0,30," United-States",TRUE
"9130",29," Private",149324," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1485,40," United-States",FALSE
"29560",44," Private",110908," Assoc-voc",11," Married-civ-spouse"," Transport-moving"," Wife"," White"," Female",0,0,25," United-States",TRUE
"11039",30," Private",288566," Bachelors",13," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States",TRUE
"24606",49," Private",126754," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,45," United-States",FALSE
"29109",24," Private",211585," HS-grad",9," Married-civ-spouse"," Transport-moving"," Own-child"," White"," Female",0,0,40," United-States",TRUE
"9118",25," Private",362912," Some-college",10," Never-married"," Craft-repair"," Own-child"," White"," Female",0,0,50," United-States",TRUE
"24936",22," Private",194848," HS-grad",9," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,40," United-States",TRUE
"13711",39," Private",154410," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",FALSE
"11679",35," Self-emp-not-inc",278557," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,30," United-States",TRUE
"4718",34," Private",155343," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1848,50," United-States",FALSE
"18584",26," Private",258550," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States",TRUE
"11900",39," Private",167140," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",TRUE
"2088",25," Private",304032," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,36," United-States",TRUE
"8764",26," Private",247025," Some-college",10," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States",TRUE
"9494",52," Private",190333," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",FALSE
"2607",21," ?",34443," Some-college",10," Never-married"," ?"," Own-child"," White"," Male",0,0,50," United-States",TRUE
"25245",27," Private",105817," Bachelors",13," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,45," United-States",TRUE
"3092",48," Private",331482," Prof-school",15," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,1977,40," United-States",FALSE
"4170",27," ?",129661," Assoc-voc",11," Married-civ-spouse"," ?"," Wife"," Amer-Indian-Eskimo"," Female",0,0,40," United-States",FALSE
"20706",33," Local-gov",156015," Assoc-voc",11," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States",TRUE
